Gene_Name,Correlation,P_Value
CLEC12B,0.144394053830972,P < 0.001
ARHGAP5,0.304819449287463,P < 0.001
KDM5A,0.247811307123198,P < 0.001
TRIM31,0.169706584386136,P < 0.001
EPS15,0.234133024575989,P < 0.001
FGD4,0.186296310756986,P < 0.001
TTC12,0.217407718310003,P < 0.001
ST3GAL2,0.196861478756257,P < 0.001
ZNF785,0.147725666578959,P < 0.001
ARFGEF2,0.229606338112667,P < 0.001
CORO2A,0.189764348387627,P < 0.001
GAL3ST3,0.137549643719486,P < 0.001
RTL4,0.125242909194995,P < 0.001
CCNG1,0.203175146644524,P < 0.001
SVIL,0.288874445309888,P < 0.001
MFAP4,0.180358948081091,P < 0.001
CELSR2,0.121105221266083,P < 0.001
ZNF738,0.12723277989943,P < 0.001
MRGBP,0.143241268693955,P < 0.001
MARCH9,0.174027966659448,P < 0.001
EDEM1,0.21479888265961,P < 0.001
MAPK8IP3,0.145619529579905,P < 0.001
SCUBE2,0.129740174836162,P < 0.001
NEK5,0.144606407425713,P < 0.001
YPEL4,0.161577101009893,P < 0.001
TMEM125,0.180677168160511,P < 0.001
TMEM185B,0.227649498317226,P < 0.001
LY86,0.25812587243792,P < 0.001
ANXA3,0.252311898584386,P < 0.001
TGM2,0.168445106535287,P < 0.001
SNX13,0.174604127253436,P < 0.001
JPT2_ENST00000382710,0.302440110691447,P < 0.001
RBM47,0.271740961554422,P < 0.001
FCMR_ENST00000442471,0.165914859879917,P < 0.001
RGL3,0.24755110611124,P < 0.001
CEP120,0.255930175703315,P < 0.001
NAV2,0.239041272246989,P < 0.001
B2M,0.135492267035741,P < 0.001
HMSD,0.164409977163106,P < 0.001
DBNDD1,0.165840326376408,P < 0.001
GPANK1,0.185760393599462,P < 0.001
ZNF346,0.165535236759787,P < 0.001
SMARCA5,0.261460239903741,P < 0.001
SLC10A7,0.183553978114505,P < 0.001
CPXM2,0.138478564410395,P < 0.001
S1PR2,0.136873536058147,P < 0.001
KRBA1,0.132543228613121,P < 0.001
DNAJC12,0.243240185923857,P < 0.001
SSBP2,0.225641962526902,P < 0.001
GIMAP6,0.206998803994612,P < 0.001
IGLL5,0.13295780568931,P < 0.001
PCOLCE,0.131541791462965,P < 0.001
EP400,0.235724953985077,P < 0.001
VAMP4,0.176348978679826,P < 0.001
DHRS3,0.248198634451419,P < 0.001
RAB9B,0.135926232739444,P < 0.001
ATF7IP2,0.141679614664663,P < 0.001
ARHGAP42_ENST00000524892,0.15630416144956,P < 0.001
ANKS6,0.142694331956665,P < 0.001
GPAT3,0.295730137784289,P < 0.001
AAMDC,0.213383025875097,P < 0.001
CPSF6,0.23781588262747,P < 0.001
ZBTB48,0.199718693200089,P < 0.001
SLC29A1,0.150891807011547,P < 0.001
GGCX,0.323074427740969,P < 0.001
KIF13A,0.237690709598007,P < 0.001
DPP6,0.164127367433744,P < 0.001
DCP1B,0.226799538448548,P < 0.001
OR51B6,0.160976283344626,P < 0.001
HSD17B13,0.17939780252324,P < 0.001
TMED9,0.258068246041571,P < 0.001
SREK1,0.14401309669542,P < 0.001
MRGPRD,0.136305745166481,P < 0.001
RCCD1,0.179829215075027,P < 0.001
WDR31,0.133626497112502,P < 0.001
CYLD,0.199045470488452,P < 0.001
MRPL49,0.181014683952517,P < 0.001
ANKAR,0.10991476055711,P < 0.001
PPP1R9A,0.186005313740597,P < 0.001
CD2AP,0.155635101898161,P < 0.001
C7orf50,0.257993668558192,P < 0.001
HTATIP2,0.239509106383907,P < 0.001
GIPC3,0.121195632213038,P < 0.001
AP1S1,0.173017332255925,P < 0.001
CRYGS,0.238043070231626,P < 0.001
HEBP1,0.231504383723986,P < 0.001
SH3BP4,0.267141028991717,P < 0.001
ZFYVE19,0.161470466608499,P < 0.001
PPIL3,0.250086013902324,P < 0.001
